comment_id,parent_id,author,text,like_count,published_at,is_reply,age
UgyXuksFa8BagrOkjyF4AaABAg,,@박규태-e7m,"<a href=""https://www.youtube.com/watch?v=3YwljDL7VNw&amp;t=270"">4:30</a>",0,2024-11-24T07:02:21Z,False,10대
UgxeMtQG5z1Ks0gXYGJ4AaABAg,,@호우-w9b4v,이재욱 닮았어요 오빠❤,0,2024-11-24T06:40:25Z,False,10대
UgzwyZ96-Sinfx7av4t4AaABAg,,@임승용-p5c,근데 제가 잘몰라서 여쭤보는건데 케틀은 부쉬안에서 때리면 패시브 2개씩 쌓이는데 왜 싸울때마다 부쉬 밖에서 때리는거에요?,0,2024-11-24T05:46:34Z,False,10대
UgwoXm8KtlyG-S-Ue914AaABAg,,@땅콩너구리,괴물쥐 영상 보면 도대체 쟤네가 어떻게 마스터인지 이해가 안됨..,0,2024-11-24T05:46:16Z,False,10대
UgyH10WRdN0zeic7cBR4AaABAg,,@WaccRopp,롤체 시즌 시작했는데 롤체나하죠?,0,2024-11-24T05:26:10Z,False,10대
Ugygm69_nnR5U1_p8Jl4AaABAg,,@SlBADOG,"<a href=""https://www.youtube.com/watch?v=3YwljDL7VNw&amp;t=387"">6:27</a> ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ채팅<br>레전드 ㅋㅋㅋㅋㅋㅋㅋㅈㄴ 웃기네",0,2024-11-24T05:15:26Z,False,10대
UgymGba_yjWv_i8iial4AaABAg,,@승준이-o3j,"<a href=""https://www.youtube.com/watch?v=3YwljDL7VNw&amp;t=437"">7:17</a> 무빙 암흑시얀데 무빙 와 반속이 ㄷㄷ",0,2024-11-24T04:20:16Z,False,10대
UgymGba_yjWv_i8iial4AaABAg.ABCts4pfLqkABD7x8uWLFl,UgymGba_yjWv_i8iial4AaABAg,@장준호-y3o,저건 반속 아니고 그냥 포탑어그로 빼고 다시 들어가려다 얻어걸린거임 스킬 이펙트 나오기 전에 마우스가 애초에 뒤로 가고있음,0,2024-11-24T06:32:02Z,True,10대
Ugx6IxZWHGxrTOcYnkd4AaABAg,,@l9유출모음-프사눌러2o,"<a href=""https://www.youtube.com/watch?v=3YwljDL7VNw&amp;t=126"">2:06</a> 지환아 1+1이 뭐냐?ㅋㅋㅋㅋㅋㅋㅋㅋ",117,2024-11-24T04:14:11Z,False,10대
Ugxag7mrhqsaEw9Bif14AaABAg,,@l9유출모음-프사눌러2o,"<a href=""https://www.youtube.com/watch?v=3YwljDL7VNw&amp;t=674"">11:14</a> 이게 ㅈㄴ 웃기네 ㅋㅋㅋㅋㅋ 갑자기  “팬이에요“ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",316,2024-11-24T04:14:03Z,False,10대
